# Statistics Sample - First 100 Lines
# Extracted from logs/monitor-tool.log and logs/summary.json
# Format: timestamp,phase,count,rate,timePerUnit

timestamp,phase,count,rate,timePerUnit
2025-12-04T08:09:07.782Z,chunks,7536000,299.97,0.00333367
2025-12-04T08:09:17.073Z,chunks,7536000,0,0
2025-12-04T08:09:26.966Z,chunks,7540000,199.81,0.00500475
2025-12-04T08:09:37.899Z,chunks,7544000,199.86,0.00500350
2025-12-04T08:09:47.801Z,chunks,7544000,0,0
2025-12-04T08:09:57.398Z,chunks,7546000,99.95,0.01000550
2025-12-04T08:10:06.983Z,chunks,7554000,399.84,0.00250100
2025-12-04T08:10:16.747Z,chunks,7554000,0,0
2025-12-04T08:10:26.921Z,chunks,7556000,99.95,0.01000550
2025-12-04T08:10:36.846Z,chunks,7558000,99.99,0.01000150
2025-12-04T08:10:46.552Z,chunks,7564000,299.85,0.00333500
2025-12-04T08:10:57.370Z,chunks,7566000,199.98,0.00500050
2025-12-04T08:11:07.693Z,chunks,7574000,399.54,0.00250288
2025-12-04T08:11:16.938Z,chunks,7578000,199.71,0.00500725
2025-12-04T08:11:27.278Z,chunks,7608000,1499.33,0.00066697

